nodeId,commHash,commId,rank,nRanks,pid
005060,0x2d781de58a6079e7,0xe7d12636594460c0,10,128,269941
005060,0x2d781de58a6079e7,0xe7d12636594460c0,8,128,269939
005060,0x4d94a4f67d0b3c2e,0xe13f70e366315553,0,1,269940
005060,0xdbe7033537e81b40,0x26f5f8dae9dc9fe1,0,1,269939
005060,0x942c6fc0fdf46adf,0x404fa8f9233694c2,0,1,269941
005060,0x4f96675b63f5b852,0x8afca2e50720fe7e,0,1,269942
005074,0x5536c7d9bd44d567,0x68397d93bb6f627d,60,128,290429
005074,0x5536c7d9bd44d567,0x68397d93bb6f627d,61,128,290430
005074,0x5536c7d9bd44d567,0x68397d93bb6f627d,62,128,290431
005074,0x5536c7d9bd44d567,0x68397d93bb6f627d,63,128,290432
005074,0x198ee4ab45b9cbf2,0xc995a2f79c16365,0,1,290431
005074,0x2df62865298c9c36,0xbc6058749f3bfa64,0,1,290432
005074,0xe3d6e5292a8e3cdb,0x3e779b77f9baf6f5,0,1,290429
005074,0x684027b0937ff88d,0x919aa870b7aff096,0,1,290430
005074,0x2d781de58a6079e7,0xe7d12636594460c0,63,128,290432
005074,0x2d781de58a6079e7,0xe7d12636594460c0,61,128,290430
005074,0x2d781de58a6079e7,0xe7d12636594460c0,60,128,290429
005074,0x2d781de58a6079e7,0xe7d12636594460c0,62,128,290431
005074,0xa1d401cd8a7c6157,0x7a5a3ea4c3116563,0,1,290430
005074,0x39cf69a23801d85b,0xe202201d4a8a7422,0,1,290429
005074,0xc128aaeace90a110,0x53a6fda82aaa2c83,0,1,290432
005074,0x9e360274403fabf6,0x4fdc31b42558c2c0,0,1,290431
005084,0x5536c7d9bd44d567,0x68397d93bb6f627d,90,128,167710
005084,0x5536c7d9bd44d567,0x68397d93bb6f627d,91,128,167711
005084,0x5536c7d9bd44d567,0x68397d93bb6f627d,89,128,167709
005084,0x5536c7d9bd44d567,0x68397d93bb6f627d,88,128,167708
005084,0xc36120560667fb77,0x6cc1477e4b972ade,0,1,167710
005084,0xc8a8554f5af7fc44,0x5f1c834a012abd55,0,1,167711
005084,0x8235d5e8fcfd1e46,0x812ed2bbe64b14f9,0,1,167708
005084,0x66b373745b692ba8,0x2ebec6fc2eb62009,0,1,167709
005084,0x2d781de58a6079e7,0xe7d12636594460c0,91,128,167711
005084,0x2d781de58a6079e7,0xe7d12636594460c0,89,128,167709
005084,0x2d781de58a6079e7,0xe7d12636594460c0,88,128,167708
005084,0x2d781de58a6079e7,0xe7d12636594460c0,90,128,167710
005084,0x3310d1e007074135,0x4b0149f9a4768423,0,1,167709
005084,0xc44f224f5e486e05,0xac7c435df3ef601c,0,1,167711
005084,0xec15ed8c7f7e0608,0x49f03c3d350b5148,0,1,167708
005084,0x9308a024ba5e986e,0xa969c14f69b86bc6,0,1,167710
005093,0x5536c7d9bd44d567,0x68397d93bb6f627d,107,128,237261
005093,0x5536c7d9bd44d567,0x68397d93bb6f627d,105,128,237259
005093,0x5536c7d9bd44d567,0x68397d93bb6f627d,106,128,237260
005093,0x5536c7d9bd44d567,0x68397d93bb6f627d,104,128,237258
005093,0x8480e8ca3a91b8f7,0x72bc92fd2d6d07fa,0,1,237259
005093,0x667386a7fae6ba72,0x24967811c2423872,0,1,237258
005093,0xfa68d5ffe5bdc5f6,0x5e99cf99237bc21f,0,1,237261
005093,0x87c757830a202f40,0x1816f19a8dfe472c,0,1,237260
005093,0x2d781de58a6079e7,0xe7d12636594460c0,104,128,237258
005093,0x2d781de58a6079e7,0xe7d12636594460c0,107,128,237261
005093,0x2d781de58a6079e7,0xe7d12636594460c0,106,128,237260
005093,0x2d781de58a6079e7,0xe7d12636594460c0,105,128,237259
005093,0x8b3129eb838e226a,0x66470224eec6eb94,0,1,237260
005093,0x9e959169c5546339,0x89fccf88e184bed3,0,1,237261
005093,0xbe15a26aa72478a3,0xc49aaa825949e8ae,0,1,237258
005093,0xf9e2aa14c7d1fe1f,0xb3b7e2c93f59f9d5,0,1,237259
005068,0x5536c7d9bd44d567,0x68397d93bb6f627d,42,128,34156
005068,0x5536c7d9bd44d567,0x68397d93bb6f627d,43,128,34157
005068,0x5536c7d9bd44d567,0x68397d93bb6f627d,41,128,34155
005068,0x5536c7d9bd44d567,0x68397d93bb6f627d,40,128,34154
005068,0x34e670f89650e9c7,0x4d07c0e218190666,0,1,34155
005068,0xcce9862396f97411,0x1e9819c059306726,0,1,34157
005068,0xc9a55a37f8f18217,0x32b9bf207b993ee2,0,1,34156
005068,0x69a826bec0d3d21a,0x222bab12e6cfc43e,0,1,34154
005068,0x2d781de58a6079e7,0xe7d12636594460c0,43,128,34157
005068,0x2d781de58a6079e7,0xe7d12636594460c0,42,128,34156
005068,0x2d781de58a6079e7,0xe7d12636594460c0,41,128,34155
005068,0x2d781de58a6079e7,0xe7d12636594460c0,40,128,34154
005068,0xa49129a2441d1865,0x9728864bea349940,0,1,34154
005068,0x59e7c1388e3cc086,0xfb64b91ddbb6bc9b,0,1,34156
005068,0x6b6de78858858e1c,0x977adc7ce4f65886,0,1,34155
005068,0x3bff22f41d554567,0x6a6b5d65c083f4f,0,1,34157
005071,0x5536c7d9bd44d567,0x68397d93bb6f627d,52,128,265863
005071,0x5536c7d9bd44d567,0x68397d93bb6f627d,53,128,265864
005071,0x5536c7d9bd44d567,0x68397d93bb6f627d,54,128,265865
005071,0x5536c7d9bd44d567,0x68397d93bb6f627d,55,128,265866
005071,0x68099893ecdd092c,0x46d92e804b064108,0,1,265866
005071,0x41f358d643feb4f6,0x8037d636dc034fb6,0,1,265863
005071,0x7361505b3660dcb8,0x1b4ad703cb48e4f8,0,1,265865
005071,0xe34fb706ba5a3ef3,0xc0d21d24b97733c5,0,1,265864
005071,0x2d781de58a6079e7,0xe7d12636594460c0,55,128,265866
005071,0x2d781de58a6079e7,0xe7d12636594460c0,54,128,265865
005071,0x2d781de58a6079e7,0xe7d12636594460c0,53,128,265864
005071,0x2d781de58a6079e7,0xe7d12636594460c0,52,128,265863
005071,0xa51cee07918b7f4d,0x76c8462f38f1c2ef,0,1,265864
